key,value
西23,93.4
西22,94.4
西21,95.4
西20,96.4
西19,97.4
西18,98.4
西17,99.4
西16,100.4
西15,101.4
西14,102.4
西13,103.4
西12,104.4
西11,105.4
西10,106.4

東10,126.4
東11,127.4
東12,128.4
北4上端,44
北3上端,43
北2上端,42
北1上端,41
中上端,40
南1上端,39
南2上端,38
南3上端,37
南4上端,36
南5上端,35
南6上端,34
南7上端,33
南8上端,32
南9上端,31
南10上端,30
南11上端,29
南12上端,28
南13上端,27
南14上端,26
南15上端,25
南16上端,24
南17上端,23
南18上端,22
南19上端,21
南20上端,20
南20下端,19

西9,107.4
西8,108.4
西7,109.4
西6,110.4
西5,111.4
西4,112.4
西3,113.4
西2,114.4
西1,115.4

東1,117.4
東2,118.4
東3,119.4
東4,120.4
東5,121.4
東6,122.4
東7,123.4
東8,124.4
東9,125.4

中,116.4
